appid,genres
32450,Adventure
32460,Adventure
32470,Strategy
32500,Action
32510,Action
32510,Adventure
32610,Action
32620,Action
32630,Action
32640,Action
32650,Action
32660,Action
32680,Action
32710,Simulation
32720,Simulation
32730,Simulation
32740,Simulation
32750,Action
32750,Simulation
32760,Simulation
32770,Action
32900,Casual
32900,Indie
32900,Simulation
32900,Strategy
33100,Action
33100,Indie
33100,RPG
33110,Action
33110,Indie
33110,RPG
33120,Action
33120,Indie
33120,RPG
33130,Action
33130,Indie
33130,RPG
33180,Action
33180,Indie
33180,RPG
33220,Action
33230,Action
33230,Adventure
33320,Action
33320,Adventure
33390,Action
33390,Indie
33460,Adventure
33460,Simulation
33520,Simulation
33520,Strategy
33550,Action
33550,RPG
33570,RPG
33570,Simulation
33570,Strategy
33580,Simulation
33580,Strategy
33600,Adventure
33600,Casual
33610,Adventure
33620,Action
33620,Racing
33650,Casual
33660,Casual
33660,Indie
33670,RPG
33670,Strategy
33680,Indie
33700,Casual
33700,Simulation
33710,Casual
33710,Simulation
33720,Casual
33720,Simulation
33730,Simulation
33750,Simulation
33760,Casual
33770,RPG
33790,Casual
33900,Action
33900,Simulation
33900,Strategy
33930,Action
33930,Simulation
33930,Strategy
33950,Casual
33950,Indie
33980,Action
33990,Adventure
34010,Action
34010,RPG
34030,Strategy
34190,Racing
34410,Action
34420,Strategy
34500,Indie
34500,Simulation
34500,Strategy
34600,Strategy
34630,Strategy
34640,Strategy
34800,Adventure
34810,Action
34810,Simulation
34820,Simulation
34830,Action
34870,Action
34900,Indie
34920,Action
34920,Casual
34920,Indie
35000,Action
35000,Adventure
35070,Casual
35130,Action
35130,Adventure
35140,Action
35140,Adventure
35300,Strategy
35310,Action
35310,Racing
35320,Racing
35450,Action
35450,Massively Multiplayer
35450,Simulation
35460,Action
35460,Adventure
35460,Indie
35460,Strategy
35480,Casual
35480,Indie
35480,Strategy
35600,Adventure
35600,Casual
35600,Strategy
35700,Action
35700,Adventure
35700,Indie
35720,Action
35720,Adventure
35720,Indie
35800,Casual
35800,Indie
36000,Action
36000,Indie
36130,Casual
36150,Casual
36900,Action
36900,Casual
36900,Indie
36900,Simulation
36910,Action
36910,Casual
36910,Indie
36910,Simulation
37000,Action
37000,Adventure
37210,Simulation
37220,Simulation
37230,Simulation
37240,Simulation
37260,Adventure
37280,Simulation
37290,Casual
37300,Simulation
37310,Casual
37320,Casual
37330,Casual
37340,Casual
37360,Casual
37370,Casual
37380,Casual
37390,Casual
37400,Adventure
37400,Indie
37500,Casual
37500,Indie
37600,Adventure
37600,Casual
37600,Indie
37800,Casual
37800,Indie
37960,Casual
