appid,categories
8000,Single-player
8080,Family Sharing
8080,Multi-player
8080,Partial Controller Support
8080,Remote Play Together
8080,Shared/Split Screen
8080,Single-player
8100,Family Sharing
8100,Single-player
8100,Steam Cloud
8140,Family Sharing
8140,Full controller support
8140,Single-player
8170,Multi-player
8170,Partial Controller Support
8170,Single-player
8190,#category_playable_at_your_own_pace
8190,Camera Comfort
8190,Custom Volume Controls
8190,Family Sharing
8190,Full controller support
8190,Playable without Timed Input
8190,Remote Play on TV
8190,Single-player
8190,Steam Achievements
8190,Steam Cloud
8190,Stereo Sound
8190,Subtitle Options
8330,Family Sharing
8330,Single-player
8400,Family Sharing
8400,Full controller support
8400,Remote Play on TV
8400,Single-player
8500,Adjustable Text Size
8500,Co-op
8500,Color Alternatives
8500,Custom Volume Controls
8500,Family Sharing
8500,MMO
8500,Multi-player
8500,Online Co-op
8500,Online PvP
8500,PvP
8500,Steam Trading Cards
8500,Stereo Sound
8500,Surround Sound
8600,Family Sharing
8600,Multi-player
8600,Single-player
8780,Multi-player
8780,Single-player
8790,Family Sharing
8790,Multi-player
8790,Single-player
8800,Family Sharing
8800,Single-player
8850,Family Sharing
8850,Full controller support
8850,Multi-player
8850,Remote Play on TV
8850,Single-player
8850,Steam Achievements
8870,Family Sharing
8870,Full controller support
8870,Remote Play on TV
8870,Remote Play on Tablet
8870,Single-player
8870,Steam Achievements
8870,Steam Cloud
8870,Steam Trading Cards
8880,Family Sharing
8880,Multi-player
8880,Single-player
8890,Family Sharing
8890,Multi-player
8890,Single-player
8930,Family Sharing
8930,Multi-player
8930,Remote Play on Tablet
8930,Single-player
8930,Steam Achievements
8930,Steam Cloud
8930,Steam Trading Cards
8970,Family Sharing
8970,Single-player
8970,Steam Achievements
9010,Family Sharing
9010,Multi-player
9010,Single-player
9010,Steam Cloud
9060,Co-op
9060,Family Sharing
9060,LAN Co-op
9060,Multi-player
9060,Single-player
9060,Steam Cloud
9180,Family Sharing
9180,Single-player
9180,Steam Cloud
9200,Co-op
9200,Family Sharing
9200,Multi-player
9200,Partial Controller Support
9200,Single-player
9200,Steam Achievements
9340,Family Sharing
9340,Multi-player
9340,Single-player
9340,Steam Cloud
9350,Family Sharing
9350,Multi-player
9350,Single-player
9350,Steam Cloud
9420,Family Sharing
9420,Multi-player
9420,Single-player
9420,Steam Cloud
9460,Co-op
9460,Family Sharing
9460,Multi-player
9460,Single-player
9460,Steam Cloud
9480,Family Sharing
9480,Partial Controller Support
9480,Single-player
9480,Steam Cloud
9500,Family Sharing
9500,Multi-player
9500,Partial Controller Support
9500,Remote Play Together
9500,Shared/Split Screen
9500,Shared/Split Screen Co-op
9500,Shared/Split Screen PvP
9500,Single-player
9500,Steam Achievements
9710,Family Sharing
9710,Single-player
9730,Family Sharing
9730,Single-player
9760,Family Sharing
9760,Multi-player
9760,Single-player
9800,Family Sharing
9800,Single-player
9800,Steam Cloud
9850,Co-op
9850,Family Sharing
9850,Multi-player
9850,Single-player
9880,Co-op
9880,MMO
9880,Multi-player
9880,Partial Controller Support
9880,Steam Achievements
9900,Co-op
9900,Full controller support
9900,In-App Purchases
9900,MMO
9900,Multi-player
9940,Family Sharing
9940,Partial Controller Support
9940,Single-player
9940,Steam Achievements
9940,Steam Cloud
9940,Steam Trading Cards
9960,Family Sharing
9960,Partial Controller Support
9960,Single-player
9970,Family Sharing
9970,Partial Controller Support
9970,Single-player
9980,Family Sharing
9980,Single-player
10090,Co-op
10090,Family Sharing
10090,Multi-player
10090,Single-player
10100,Family Sharing
10100,Single-player
10110,Family Sharing
10110,Single-player
10120,Family Sharing
10120,Single-player
10130,Family Sharing
10130,Multi-player
10130,Single-player
10140,Family Sharing
10140,Single-player
10150,Family Sharing
10150,Single-player
10180,Co-op
10180,Family Sharing
10180,Multi-player
10180,Single-player
10180,Steam Achievements
10180,Steam Cloud
10180,Valve Anti-Cheat enabled
10220,Family Sharing
10220,Single-player
10220,Steam Achievements
10230,Family Sharing
10230,Single-player
10240,Family Sharing
10240,Single-player
10250,Family Sharing
10250,Multi-player
10250,Single-player
10260,Family Sharing
10260,Multi-player
10260,Single-player
10270,Family Sharing
10270,Multi-player
10270,Single-player
10460,Family Sharing
10460,Multi-player
10460,Partial Controller Support
10460,Single-player
10500,Adjustable Difficulty
10500,Camera Comfort
10500,Co-op
10500,Custom Volume Controls
10500,Family Sharing
10500,LAN Co-op
10500,LAN PvP
10500,Multi-player
10500,Online Co-op
10500,Online PvP
10500,Playable without Timed Input
10500,PvP
10500,Save Anytime
10500,Single-player
10500,Stats
10500,Steam Achievements
10500,Steam Trading Cards
10500,Stereo Sound
10520,Family Sharing
10520,Multi-player
10520,Partial Controller Support
10520,Single-player
10680,Co-op
10680,Family Sharing
10680,Multi-player
10680,Single-player
10680,Stats
10680,Steam Achievements
10680,Steam Cloud
10680,Steam Leaderboards
11020,Family Sharing
11020,Includes level editor
11020,Multi-player
11020,Single-player
11040,Family Sharing
11040,Single-player
11050,Family Sharing
11050,Single-player
11130,Family Sharing
11130,Single-player
11140,Family Sharing
11140,Single-player
11150,Family Sharing
11150,Single-player
11180,Family Sharing
11180,Single-player
11190,Family Sharing
11190,Single-player
11190,Steam Cloud
11200,Family Sharing
11200,Includes level editor
11200,Multi-player
11200,Remote Play Together
11200,Shared/Split Screen
11200,Single-player
11200,Steam Trading Cards
11230,Family Sharing
11230,Multi-player
11230,Single-player
11240,Co-op
11240,Family Sharing
11240,Multi-player
11240,Single-player
11240,Steam Achievements
11250,Family Sharing
